CIK,Filed As Of Date,Conformed Period Of Report,Keyword Sentence,item1check
0000060977,20170222,20161231,"Three unions with contracts expiring on September 30, 2020 represent approximately 60 employees in the United States.",0
0000060977,20170222,20161231,9The Company could be subject to work stoppages or other business interruptions as a result of its unionized work force - A portion of the Company’s hourly employees are represented by various union locals and covered by collective bargaining agreements.,0
0000060977,20170222,20161231,"Specifically, three union contracts expiring on September 30, 2020 represent approximately 60 employees in the United States.",0
0000060977,20170222,20161231,"If the Company is unable to negotiate any of its collective bargaining agreements on satisfactory terms prior to expiration, the Company could experience disruptions in its operations which could have a material adverse effect on operations.",0
0000060977,20130226,20121231,"Three unions with contracts expiring on September 30, 2016 represent approximately 60 employees in the United States.",0
0000060977,20130226,20121231,Lydall considers its employee relationships to be satisfactory and did not have any actual or threatened work stoppages due to union-related activities in 2012.,0
0000060977,20130226,20121231,The Company could be subject to work stoppages or other business interruptions as a result of its unionized work force A portion of the Companys hourly employees are represented by various union locals and covered by collective bargaining agreements.,0
0000060977,20130226,20121231,"Specifically, three union contracts expiring on September 30, 2016 represent approximately 60 employees in the United States.",0
0000060977,20130226,20121231,"If the Company is unable to negotiate any of its collective bargaining agreements on satisfactory terms prior to expiration, the Company could experience disruptions in its operations which could have a material adverse effect on operations.",0
0000200406,20160224,20160103,,0
0000060977,20190226,20181231,The Company has approximately 250 employees in the United States under union contracts expiring between February 2019 through July 2022.,0
0000060977,20190226,20181231,The Company could be subject to work stoppages or other business interruptions as a result of its unionized work force - A portion of the Company’s hourly employees are represented by various union locals and covered by collective bargaining agreements.,0
0000060977,20190226,20181231,"If the Company is unable to negotiate any of its collective bargaining agreements on satisfactory terms prior to expiration, the Company could experience disruptions in its operations which could have a material adverse effect on operations.",0
0000060977,20150303,20141231,"Three unions with contracts expiring on September 30, 2016 represent approximately 60 employees in the United States.",0
0000060977,20150303,20141231,The Company could be subject to work stoppages or other business interruptions as a result of its unionized work force — A portion of the Company’s hourly employees are represented by various union locals and covered by collective bargaining agreements.,0
0000060977,20150303,20141231,"Specifically, three union contracts expiring on September 30, 2016 represent approximately 60 employees in the United States.",0
0000060977,20150303,20141231,"If the Company is unable to negotiate any of its collective bargaining agreements on satisfactory terms prior to expiration, the Company could experience disruptions in its operations which could have a material adverse effect on operations.",0
0000200406,20180221,20171231,,0
0000060977,20140305,20131231,"Three unions with contracts expiring on September 30, 2016 represent approximately 60 employees in the United States.",0
0000060977,20140305,20131231,Lydall considers its employee relationships to be satisfactory and did not have any actual or threatened work stoppages due to union-related activities in 2013.,0
0000060977,20140305,20131231,9       TABLE OF CONTENTS The Company could be subject to work stoppages or other business interruptions as a result of its unionized work force A portion of the Companys hourly employees are represented by various union locals and covered by collective bargaining agreements.,0
0000060977,20140305,20131231,"Specifically, three union contracts expiring on September 30, 2016 represent approximately 60 employees in the United States.",0
0000060977,20140305,20131231,"If the Company is unable to negotiate any of its collective bargaining agreements on satisfactory terms prior to expiration, the Company could experience disruptions in its operations which could have a material adverse effect on operations.",0
0000060977,20090312,20081231,"Four unions with contracts expiring on March 31, 2009 represent approximately 60 of the Companys employees in the United States.",0
0000060977,20090312,20081231,Lydall considers its employee relationships to be satisfactory and did not have any actual or threatened work stoppages due to union-related activities in 2008.,0
0000060977,20090312,20081231,"Certain of Lydalls employees in the United States and Germany, and all of the Companys employees in France and The Netherlands are organized and covered by one or more collective bargaining agreements.",0
0000060977,20100226,20091231,"Four unions with contracts expiring on March 31, 2012 represent approximately 60 employees in the United States.",0
0000060977,20100226,20091231,Lydall considers its employee relationships to be satisfactory and did not have any actual or threatened work stoppages due to union-related activities in 2009.,0
0000060977,20100226,20091231,Certain employees in the United States and Germany and all employees in France and The Netherlands are organized and covered by one or more collective bargaining agreements.,0
0000060977,20110301,20101231,"Four unions with contracts expiring on March 31, 2012 represent 67 employees in the United States.",0
0000060977,20110301,20101231,Lydall considers its employee relationships to be satisfactory and did not have any actual or threatened work stoppages due to union-related activities in 2010.,0
0000060977,20110301,20101231,Certain employees in the United States and Germany and all employees in France and the Netherlands are covered by one or more collective bargaining agreements.,0
0000061004,20090331,20081231,None of its employees is represented by a labor union and the Company considers its employee relations to be good.,0
0000061004,20110324,20101231,None of its employees is represented by a labor union and the Company considers its employee relations to be good.,0
0000061004,20100331,20091231,None of its employees is represented by a labor union and the Company considers its employee relations to be good.,0
0000061004,20120330,20111231,None of its employees are represented by a labor union and the Company considers its employee relations to be good.,0
0000200406,20170227,20170101,,0
0000061004,20140331,20131231,None of the Company's employees are represented by a labor union and the Company considers its employee relations to be good.,0
0000200406,20120223,20120101,,0
0000061004,20170329,20161231,None of the Company's employees are represented by a labor union and the Company considers its relationships with employees to be good.,0
0000061004,20160329,20151231,None of the Company's employees are represented by a labor union and the Company considers its relationships with employees to be good.,0
0000061004,20150331,20141231,None of the Company's employees are represented by a labor union and the Company considers its relationships with employees to be good.,0
0000200406,20110225,20110102,,0
0000061004,20130401,20121231,None of its employees are represented by a labor union and the Company considers its employee relations to be good.,0
0000061004,20190321,20181231,None of the Company's employees are represented by a labor union and the Company considers its relationships with employees to be good.,0
0000061004,20180322,20171231,None of the Company's employees are represented by a labor union and the Company considers its relationships with employees to be good.,0
0000200406,20130222,20121230,,0
0000200406,20150224,20141228,,0
0000749660,20150313,20141231,None of the Companys employees is represented by a labor organization.,0
0000749872,20110914,20110702,,0
0000749872,20090908,20090627,,0
0000749872,20100909,20100703,,0
0000200406,20140221,20131229,,0
0000202058,20180827,20180629,employees are working under collective bargaining agreements with labor unions and worker representatives.,0
0000202058,20180827,20180629,These collective bargaining agreements will be renegotiated at various times over the next three years as they expire.,0
0000202058,20180827,20180629,"For certain international subsidiaries, our employees are represented by workers’ councils or statutory labor unions.",0
0000202058,20180827,20180629,"Some of our workforce is represented by labor unions, so our business could be harmed in the event of a prolonged work stoppage.",0
0000202058,20180827,20180629,"employees are unionized, which represented approximately 3 percent of our employee-base at the end of fiscal 2018.",0
0000202058,20180827,20180629,We cannot predict how stable our union relationships will be or whether we will be able to successfully negotiate successor  21collective bargaining agreements without impacting our financial condition.,0
0000202058,20180827,20180629,"In addition, the presence of unions may limit our flexibility in dealing with our workforce.",0
0000749872,20130911,20130629,,0
0000202058,20150831,20150703,"Approximately 900, or approximately 4 percent, of our employees are working under collective bargaining agreements with labor unions and worker representatives.",0
0000202058,20150831,20150703,These collective bargaining agreements will be renegotiated at various times over the next three years as they expire.,0
0000202058,20150831,20150703,"For certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000202058,20150831,20150703,"Some of our workforce is represented by labor unions, so our business could be harmed in the event of a prolonged work stoppage.",0
0000202058,20150831,20150703,"Approximately 900 of our employees are unionized, which represents approximately 4% of our employee-base at the end of fiscal 2015.",0
0000202058,20150831,20150703,We cannot predict how stable our union relationships will be or whether we will be able to successfully negotiate successor collective bargaining agreements without impacting our financial condition.,0
0000202058,20150831,20150703,"In addition, the presence of unions may limit our flexibility in dealing with our workforce.",0
0000749872,20120912,20120630,,0
0000749935,20110331,20101231,Winland is not subject to a collective bargaining agreement and considers its relations with its employees to be good.,0
0000749935,20120329,20111231,Winland is not subject to a collective bargaining agreement and considers its relations with its employees to be good.,0
0000749935,20100319,20091231,Winland is not subject to a collective bargaining agreement and considers its relations with its employees to be good.,0
0000749935,20090317,20081231,Winland is not subject to a collective bargaining agreement and considers its relations with its employees to be good.,0
0000202058,20140825,20140627,is represented by a labor union.,0
0000202058,20140825,20140627,"In certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000749935,20130322,20121231,Winland is not subject to a collective bargaining agreement and considers its relations with its employees to be good.,0
0000202058,20160829,20160701,employees are working under collective bargaining agreements with labor unions and worker representatives.,0
0000202058,20160829,20160701,These collective bargaining agreements will be renegotiated at various times over the next three years as they expire.,0
0000202058,20160829,20160701,"For certain international subsidiaries, our employees are represented by workers’ councils or statutory labor unions.",0
0000202058,20160829,20160701,"Some of our workforce is represented by labor unions, so our business could be harmed in the event of a prolonged work stoppage.",0
0000202058,20160829,20160701,"employees are unionized, which represents approximately 4 percent of our employee-base at the end of fiscal 2016.",0
0000202058,20160829,20160701,We cannot predict how stable our union relationships will be or whether we will be able to successfully negotiate successor collective bargaining agreements without impacting our financial condition.,0
0000202058,20160829,20160701,"In addition, the presence of unions may limit our flexibility in dealing with our workforce.",0
0000749935,20140227,20131231,Winland is not subject to a collective bargaining agreement and considers its relations with its employees to be good.,0
0000202058,20130826,20130628,is represented by a labor union.,0
0000202058,20130826,20130628,"In certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000750004,20180301,20171231,Labor disputes and union organizing activities may have an adverse effect on our operations.,0
0000750004,20180301,20171231,"Certain of our employees are represented by unions or works councils, including employees in Europe, South America and Canada.",0
0000750004,20180301,20171231,are represented by unions or work councils.,0
0000750004,20180301,20171231,"While we believe our relations with our employees are satisfactory, we cannot predict whether we will be successful in negotiating new collective bargaining agreements without any disruptions in our operations or higher labor costs.",0
0000750004,20180301,20171231,We cannot assure that we will not encounter conflicts or strikes with any labor unions that represent our employees or union organizing activities at our non-unionized facilities.,0
0000202058,20190822,20190628,employees were working under collective bargaining agreements with labor unions and worker representatives.,0
0000202058,20190822,20190628,These collective bargaining agreements will be renegotiated at various times over the next three years as they expire.,0
0000202058,20190822,20190628,"Following the L3Harris Merger, we now have more employees working under collective bargaining agreements with labor unions and worker representatives.",0
0000202058,20190822,20190628,"For certain international subsidiaries, our employees are represented by workers’ councils or statutory labor unions.",0
0000202058,20190822,20190628,"Some of our workforce is represented by labor unions, so our business could be harmed in the event of a prolonged work stoppage.",0
0000202058,20190822,20190628,"employees were unionized, which represented approximately 3 percent of Harris’ employee-base.",0
0000202058,20190822,20190628,"Following the L3Harris Merger, we now have more employees working under collective bargaining agreements with labor unions and worker representatives.",0
0000202058,20190822,20190628,"If we encounter difficulties with renegotiations or renewals of collective bargaining arrangements or are unsuccessful in those efforts, we could incur additional costs and experience work stoppages.",0
0000202058,20190822,20190628,We cannot predict how stable our union relationships will be or whether we will be able to successfully negotiate successor collective bargaining agreements without impacting our financial condition.,0
0000202058,20190822,20190628,"In addition, the presence of unions may limit our flexibility in dealing with our workforce.",0
0000750004,20190228,20181231,Labor disputes and union organizing activities may have an adverse effect on our operations.,0
0000750004,20190228,20181231,"Certain of our employees are represented by unions or works councils, including employees in Europe, South America and Canada.",0
0000750004,20190228,20181231,are represented by unions or work councils.,0
0000750004,20190228,20181231,"While we believe our relations with our employees are satisfactory, we cannot predict whether we will be successful in negotiating new collective bargaining agreements without any disruptions in our operations or higher labor costs.",0
0000750004,20190228,20181231,We cannot assure that we will not encounter conflicts or strikes with any labor unions that represent our employees or union organizing activities at our non-unionized facilities.,0
0000750004,20110301,20101231,The majority of our employee groups are not represented by labor unions.,0
0000750004,20110301,20101231,"However, unions represent employees at our printing facilities in the United Kingdom, Australia, Chile, Canada and Sweden.",0
0000750004,20110301,20101231,"Certain of our employees are represented by unions, including employees at our printing facilities in Australia, Canada, Chile and the United Kingdom.",0
0000750004,20110301,20101231,"There can be no assurance that we will not encounter any conflicts or strikes with any labor union that represents our employees, which could have an adverse effect on our business or results of operations, could cause us to lose customers or could cause our customers' operations to be affected and might have permanent effects on our business.",0
0000750004,20100301,20091231,"Approximately 22 of our Canadian pari-mutuel employees are represented by the Service Employees International Union (""SEIU"") under a collective bargaining agreement that expired in October 2009.",0
0000750004,20100301,20091231,Approximately 35 of our employees at one of our Connecticut OTB locations are represented by unions.,0
0000750004,20100301,20091231,The majority of our lottery employee groups are not represented by labor unions.,0
0000750004,20100301,20091231,"In addition, unions represent 165 employees at our U.",0
0000750004,20100301,20091231,"Although we have increasingly automated our pari-mutuel field operations and created two hub centers, we have union employees in our pari-mutuel field operations in the United States and Canada.",0
0000750004,20100301,20091231,We collectively bargain with the labor unions that represent these employees.,0
0000750004,20100301,20091231,The collective bargaining agreement representing the majority of our union employees in our pari-mutuel field operations in the United States runs through October 2011.,0
0000750004,20100301,20091231,"The collective bargaining agreement relating to our Canadian racing operations expired on October 20, 2009.",0
0000750004,20100301,20091231,"Although we believe we will be able to reach a new collective bargaining agreement covering our Canadian racing operations, there can be no assurance that we will be able to do so.",0
0000750004,20100301,20091231,"In addition, notwithstanding these agreements and negotiations, if we were to experience a union strike or work stoppage, it would be difficult to find sufficient replacement employees with the proper skills.",0
0000750004,20100301,20091231,"Certain of our other employees are represented by unions, including certain employees at our printing facilities in Australia, Canada, Chile and the United Kingdom and at one of our Connecticut OTB locations.",0
0000750004,20100301,20091231,"There can be no assurance that we will not encounter any conflicts or strikes with any labor union that represents our employees, which could have an adverse effect on our business or results of operations, could cause us to lose customers or could cause our customers' operations to be affected and might have permanent effects on our business.",0
0000750004,20100301,20091231,"-based union employees (the ""U.",0
0000750004,20100301,20091231,"-based union employees (the ""U.",0
0000750004,20100301,20091231,-based employees who are not covered by a collective bargaining agreement under which participants were eligible to receive matching contributions from us for the first 6% of participant contributions for a match of up to 3% of eligible compensation.,0
0000750004,20100301,20091231,-based union employees that does not provide for Company contributions.,0
0000202058,20170829,20170630,employees are working under collective bargaining agreements with labor unions and worker representatives.,0
0000202058,20170829,20170630,These collective bargaining agreements will be renegotiated at various times over the next three years as they expire.,0
0000202058,20170829,20170630,"For certain international subsidiaries, our employees are represented by workers’ councils or statutory labor unions.",0
0000202058,20170829,20170630,"Some of our workforce is represented by labor unions, so our business could be harmed in the event of a prolonged work stoppage.",0
0000202058,20170829,20170630,"employees are unionized, which represented approximately 4 percent of our employee-base at the end of fiscal 2017.",0
0000202058,20170829,20170630,We cannot predict how stable our union relationships will be or whether we will be able to successfully negotiate successor collective bargaining agreements without impacting our financial condition.,0
0000202058,20170829,20170630,"In addition, the presence of unions may limit our flexibility in dealing with our workforce.",0
0000202058,20170829,20170630,"•Some of our workforce is represented by labor unions, so our business could be harmed in the event of a prolonged work stoppage.",0
0000202058,20090831,20090703,None of our employees in the United States is represented by a labor union.,0
0000202058,20090831,20090703,"In certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000750004,20090302,20081231,Approximately 42 of our employees at one of our Connecticut OTB locations are represented by unions.,0
0000750004,20090302,20081231,The majority of our lottery employee groups are not represented by labor unions.,0
0000750004,20090302,20081231,"In addition, unions represent 205 employees at our U.",0
0000750004,20090302,20081231,"Although we have increasingly automated our pari-mutuel field operations and created two hub centers, we have union employees in our pari-mutuel field operations in the United States and Canada.",0
0000750004,20090302,20081231,We collectively bargain with the labor unions that represent these employees.,0
0000750004,20090302,20081231,"The collective bargaining agreement representing the majority of our union employees in our pari-mutuel field operations in the United States and the collective bargaining agreement relating to our Canadian racing operations expire on October 20, 2009.",0
0000750004,20090302,20081231,"Notwithstanding these agreements, if we were to experience a union strike or work stoppage, it would be difficult to find sufficient replacement employees with the proper skills.",0
0000750004,20090302,20081231,"Certain of our other employees are represented by unions, including certain employees at our printing facilities in Australia, Canada, Chile and United Kingdom and at one of our Connecticut OTB locations.",0
0000750004,20090302,20081231,"There can be no assurance that we will not encounter any conflicts or strikes with any labor union that represents our employees, which could have an adverse effect on our business or results of operations, could cause us to lose customers or could cause our customers' operations to be affected and might have permanent effects on our business.",0
0000750004,20090302,20081231,-based union employees and U.,0
0000750004,20090302,20081231,"-based union employees (the ""U.",0
0000750004,20090302,20081231,-based employees who are not covered by a collective bargaining agreement under which participants were eligible to receive matching contributions of 50 cents on the dollar from us for the first 6% of participant contributions for a match of up to 3% of eligible compensation.,0
0000750004,20090302,20081231,-based union employees that does not provide for Company contributions.,0
0000202058,20110829,20110701,None of our employees in the United States is represented by a labor union.,0
0000202058,20110829,20110701,"In certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000202058,20100830,20100702,None of our employees in the United States is represented by a labor union.,0
0000202058,20100830,20100702,"In certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000750004,20170303,20161231,32Labor disputes and union organizing activities may have an adverse effect on our operations.,0
0000750004,20170303,20161231,"Certain of our employees are represented by unions or works councils, including employees in Europe, South America and Canada.",0
0000750004,20170303,20161231,are represented by unions.,0
0000750004,20170303,20161231,"While we believe our relations with our employees are satisfactory, we cannot predict whether we will be successful in negotiating new collective bargaining agreements without any disruptions in our operations or higher labor costs.",0
0000750004,20170303,20161231,We cannot assure that we will not encounter conflicts or strikes with any labor unions that represent our employees or union organizing activities at our non-unionized facilities.,0
0000202058,20120827,20120629,None of our employees in the United States is represented by a labor union.,0
0000202058,20120827,20120629,"In certain international subsidiaries, our employees are represented by workers councils or statutory labor unions.",0
0000203077,20090227,20090103,"Our employees are not represented by any labor organizations, with the exception of certain employees in Sweden and France.",0
0000203077,20100302,20100102,"Our employees are not represented by any labor organizations, with the exception of certain employees in Sweden and France.",0
0000750004,20120229,20111231,Most of our employees are not represented by labor unions.,0
0000750004,20120229,20111231,"However, unions represent some employees at our printing facilities in Australia, Canada, Chile and the U.",0
0000750004,20120229,20111231,"Certain of our employees are represented by unions, including employees at our printing facilities in Australia, Canada, Chile and the United Kingdom.",0
0000750004,20120229,20111231,"There can be no assurance that we will not encounter any conflicts or strikes with any labor union that represents our employees, which could have an adverse effect on our business or results of operations, could cause us to lose customers or could cause our customers' operations to be affected and might have permanent effects on our business.",0
0000203077,20160223,20160102,"Our employees are not represented by any labor organizations, with the exception of a limited number of employees in Europe and Brazil.",0
0000750004,20130312,20121231,Most of our employees are not represented by labor unions.,0
0000750004,20130312,20121231,"However, unions represent the majority of our employees at our printing facilities in Canada, Chile and the U.",0
0000750004,20130312,20121231,"Certain of our employees are represented by unions, including a majority of the employees at our printing facilities in Canada, Chile and the United Kingdom.",0
0000750004,20130312,20121231,"There can be no assurance that we will not encounter any conflicts or strikes with any labor union that represents our employees, which could have an adverse effect on our business or results of operations, cause us to lose customers or cause our customers' operations to be affected and could have permanent effects on our business.",0
0000203077,20150226,20150103,"Our employees are not represented by any labor organizations, with the exception of a limited number of employees in Europe and Brazil.",0
0000750004,20160229,20151231,Labor disputes and union organizing activities may have an adverse effect on our operations.,0
0000750004,20160229,20151231,"Certain of our employees are represented by unions or works councils, including employees in Europe, South America and Canada.",0
0000750004,20160229,20151231,are represented by unions.,0
0000750004,20160229,20151231,"While we believe our relations with our employees are satisfactory, we cannot predict whether we will be successful in negotiating new collective bargaining agreements without any disruptions in our operations or higher labor costs.",0
0000750004,20160229,20151231,There can be no assurance that we will not encounter conflicts or strikes with any labor unions that represent our employees or union organizing activities at our non-unionized facilities.,0
0000203077,20130226,20121229,"Our employees are not represented by any labor organizations, with the exception of a limited number of employees in Europe and Brazil.",0
0000750004,20140317,20131231,"Certain of our employees are represented by unions, including a majority of the employees at our printing facilities in Canada, Chile and the United Kingdom.",0
0000750004,20140317,20131231,Our gaming manufacturing facility in Illinois is dependent on union employees that are represented by the International Brotherhood of Electrical Workers under a collective bargaining agreement that expires in June 2014.,0
0000750004,20140317,20131231,"While we believe our relations with our employees are satisfactory, we cannot predict whether we will be successful in negotiating new collective bargaining agreements without any disruptions in our manufacturing.",0
0000750004,20140317,20131231,There can be no assurance that we will not encounter conflicts or strikes with any labor unions that represent our employees.,0
0000835011,20190227,20181231,"A collective bargaining agreement covering 105 employees at the Atchison facility expires on August 31, 2019.",0
0000835011,20190227,20181231,"A collective bargaining agreement covering 64 employees at the Lawrenceburg facility expires on December 31, 2022.",0
0000835011,20190227,20181231,6Work disruptions or stoppages by our unionized workforce could cause interruptions in our operations.,0
0000835011,20190227,20181231,"As of December 31, 2018, approximately 169 of our 332 employees were members of a union.",0
0000835011,20190227,20181231,"Although our relations with our two unions are stable, there is no assurance that we will not experience work disruptions or stoppages in the future, which could have a material adverse effect on our business, financial condition, or results of operations and could adversely affect our relationships with our customers.",0
0000750004,20150317,20141231,"Certain of our employees are represented by unions, including a majority of the employees at our printing facilities in Canada, Chile and the U.",0
0000750004,20150317,20141231,Our gaming manufacturing facility in Illinois employs union employees that are represented by the International Brotherhood of Electrical Workers under a collective bargaining agreement that expires in December 2015.,0
0000750004,20150317,20141231,"While we believe our relations with our employees are satisfactory, we cannot predict whether we will be successful in negotiating new collective bargaining agreements without any disruptions in our manufacturing.",0
0000750004,20150317,20141231,There can be no assurance that we will not encounter conflicts or strikes with any labor unions that represent our employees.,0
0000835011,20120313,20111231,,0
0000750199,20110303,20101231,Our employees are not represented by any labor union or other collective bargaining organization.,0
0000750199,20100311,20091231,Our employees are not represented by any labor union or other collective bargaining organization.,0
0000750199,20090805,20081231,Our employees are not represented by any labor union or other collective bargaining organization.,0
0000835011,20090911,20090630,"As the result of these measures, our workforce was reduced by approximately 55% between the beginning and end of fiscal 2009 through a combination of temporary and permanent lay-offs and early retirements involving both non-union and union personnel, and we incurred $10,282 in non-cash impairment charges, $3,288 in severance and early retirement costs and $5,241 in lease termination and other restructuring costs during the fiscal year ended June 30, 2009.",0
0000835011,20090911,20090630,"Of that combined total, 180 (119 active and 61 temporarily laid off) were represented by employees covered by collective bargaining agreements with one labor union.",0
0000835011,20090911,20090630,"A collective bargaining agreement with employees at our Kansas City facility covered 19 active employees and was scheduled to expire on September 25, 2009 prior to our sale of that facility in August 2009.",0
0000835011,20090911,20090630,"At interruption in or the loss of operations at this facility, or a strike by our unionized employees at this location, could delay or postpone production of our products, which could have a material adverse effect on our business, results of operation and financial condition.",0
0000835011,20100903,20100630,"EMPLOYEES   As of June 30, 2010, we had a total of 193 employees of which 99 were covered by a collective bargaining agreement with one labor union.",0
0000835011,20100903,20100630,"An interruption in or loss of operations at this facility, or a strike by our unionized employees at this location, could reduce or postpone production of our products, which could have a material adverse effect on our business, results of operations and/or financial condition.",0
0000750199,20120308,20111231,Our employees are not represented by any labor union or other collective bargaining organization.,0
0000835011,20160310,20151231,"A collective bargaining agreement covering 102 employees at the Atchison facility expires on August 31, 2019.",0
0000835011,20160310,20151231,"Another collective bargaining agreement covering 56 employees at the Lawrenceburg facility expires on December 31, 2017.",0
0000835011,20160310,20151231,Work disruptions or stoppages by our unionized workforce could cause interruptions in the Company’s operations.,0
0000835011,20160310,20151231,"As of December 31, 2015, approximately 158 of our 293 employees were members of a union.",0
0000835011,20160310,20151231,"Although our relations with our two unions are stable and our labor contracts do not expire until December 2017 and August 2019, there is no assurance that we will not experience work disruptions or stoppages in the future, which could have a material adverse effect on our business and results of operations and adversely affect our relationships with our customers.",0
0000750199,20140228,20131231,Our employees are not represented by any labor union or other collective bargaining organization.,0
0000835011,20130312,20121231,"During the quarter ended March 31, 2012, MGPI-I and the union that covers certain employees at the Indiana Distillery ratified a new multi-year collective bargaining unit agreement, that terminates December 31, 2017.",0
0000835011,20130312,20121231,"A collective bargaining agreement covering 98 employees at the Atchison plant expires on August 31, 2014.",0
0000835011,20130312,20121231,"Another collective bargaining agreement covering 44 employees at the Indiana Distillery expires on December 31, 2017.",0
0000835011,20130312,20121231,Our unionized workforce could cause interruptions in the Company’s provision of services.,0
0000835011,20130312,20121231,"As of December 31, 2012, approximately 142 of our 267 employees were members of a union.",0
0000835011,20130312,20121231,"Although our relations with our two relevant unions are stable and our labor contracts do not expire until August 2014 and December 2017, there is no assurance that we will not experience work disruptions or stoppages in the future, which could have a material adverse effect on our business and results of operations and adversely affect our relationships with our customers.",0
0000835011,20140313,20131231,"A collective bargaining agreement covering 98 employees at the Atchison plant expires on August 31, 2014.",0
0000835011,20140313,20131231,"Another collective bargaining agreement covering 47 employees at the Indiana plant expires on December 31, 2017.",0
0000835011,20140313,20131231,Our unionized workforce could cause interruptions in the Company’s provision of services.,0
0000835011,20140313,20131231,"As of December 31, 2013, approximately 145 of our 268 employees were members of a union.",0
0000835011,20140313,20131231,"Although our relations with our two relevant unions are stable and our labor contracts do not expire until August 2014 and December 2017, there is no assurance that we will not experience work disruptions or stoppages in the future, which could have a material adverse effect on our business and results of operations and adversely affect our relationships with our customers.",0
0000750199,20130307,20121231,Our employees are not represented by any labor union or other collective bargaining organization.,0
0000835011,20150312,20141231,"A collective bargaining agreement, covering 95 employees at the Atchison facility, that was due to expire on August 31, 2014 was renewed until August 31, 2019.",0
0000835011,20150312,20141231,"Another collective bargaining agreement covering 48 employees at the Indiana facility expires on December 31, 2017.",0
0000835011,20150312,20141231,14Our unionized workforce could cause interruptions in the Company’s operations.,0
0000835011,20150312,20141231,"As of December 31, 2014, approximately 143 of our 268 employees were members of a union.",0
0000835011,20150312,20141231,"Although our relations with our two unions are stable and our labor contracts do not expire until December 2017 and August 2019, there is no assurance that we will not experience work disruptions or stoppages in the future, which could have a material adverse effect on our business and results of operations and adversely affect our relationships with our customers.",0
0000835729,20110506,20110331,,0
0000835729,20090518,20090331,,0
0000835729,20100507,20100331,,0
0000835729,20120510,20120331,,0
0000835729,20130509,20130331,,0
0000750199,20151013,20150630,,0
0000835887,20170309,20161231,,0
0000751085,20110831,20110831,"Employee Relations   As of August 1, 2011, we had 120 salaried employees and 191 hourly employees, none of whom were covered by collective bargaining agreements with unions.",0
0000835887,20190315,20181231,None of our employees is covered by a collective bargaining agreement.,0
0000751085,20140321,20131229,"Employee Relations 8IndexAs of February 17, 2014, we had 126 salaried employees and 202 hourly employees, none of whom were covered by collective bargaining agreements with unions.",0
0000835887,20160311,20151231,None of our employees is covered by a collective bargaining agreement.,0
0000835887,20180308,20171231,None of our employees is covered by a collective bargaining agreement.,0
0000751085,20130322,20121230,"Employee Relations As of February 20, 2013, we had 134 salaried employees and 216 hourly employees, none of whom were covered by collective bargaining agreements with unions.",0
0000835887,20110315,20101231,None of our employees is covered by a collective bargaining agreement.,0
0000835887,20100315,20091231,None of our employees is covered by a collective bargaining agreement.,0
0000835887,20120315,20111231,,0
0000751085,20150320,20141228,"Employee Relations As of February 20, 2015, we had 130 salaried employees and 188 hourly employees, none of whom were covered by collective bargaining agreements with unions.",0
0000751085,20100831,20100830,"Employee Relations   As of August 1, 2010, we had 108 salaried employees and 192 hourly employees, none of whom were covered by collective bargaining agreements with unions.",0
0000751085,20090831,20090628,"Employee Relations   As of August 1, 2009, we had 191 salaried employees and 117 hourly employees, none of whom were covered by collective bargaining agreements with unions.",0
0000835887,20090313,20090213,None of our employees is covered by a collective bargaining agreement.,0
0000751365,20090416,20090131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000751365,20110415,20110131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000751365,20100416,20100131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000751365,20120425,20120131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000835887,20150316,20141231,None of our employees is covered by a collective bargaining agreement.,0
0000751365,20180427,20180131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000835887,20130315,20121231,None of our employees is covered by a collective bargaining agreement.,0
0000751365,20170425,20170131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000751365,20190501,20190131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000835887,20140313,20131231,None of our employees is covered by a collective bargaining agreement.,0
0000836106,20110225,20101231,Certain employees outside of the United States in the Industrial Applications Group are represented by labor unions.,0
0000836106,20090227,20081231,Certain employees outside of the United States in the Industrial Applications Group are represented by labor unions.,0
0000836106,20100224,20091231,Certain employees outside of the United States in the Industrial Applications Group are represented by labor unions.,0
0000751365,20160426,20160131,"None of our work force is represented by unions, and while we believe that we have good relations with our work force, we may experience work stoppages or other labor problems in the future.",0
0000836106,20120224,20111231,Certain employees outside of the United States in the Industrial Applications Group are represented by labor unions.,0
